line,departure_name,departure_short_name,departure_day,departure_time,arrival_time,arrival_day,arrival_name,arrival_short_name,distance,pause,rotation_id,vehicle_type
160,Betriebshof A,BF A E,Monday,21.5166666666666,21.5166666666666,Monday,Hasselwerderstr.,HAWR01B,0.06,0,4454943,CKB
160,Hasselwerderstr.,HAWR01B,Monday,21.5166666666666,22.0666666666666,Monday,Siriusstr.,SIRI01B,14519,4,4454943,CKB
160,Siriusstr.,SIRI01B,Monday,22.1333333333333,22.7166666666666,Monday,Hasselwerderstr.,HAWR01B,13541,8,4454943,CKB
160,Hasselwerderstr.,HAWR01B,Monday,22.85,23.4,Monday,Siriusstr.,SIRI01B,14519,4,4454943,CKB
160,Siriusstr.,SIRI01B,Monday,23.4666666666666,24.05,Tuesday,Hasselwerderstr.,HAWR01B,13541,8,4454943,CKB
160,Hasselwerderstr.,HAWR01B,Tuesday,0.183333333333333,0.733333333333333,Tuesday,Siriusstr.,SIRI01B,14519,0,4454943,CKB
N60,Siriusstr.,SIRI01B,Tuesday,0.733333333333333,0.9,Tuesday,S Adlershof,SAH02BN,4.1,25,4454943,CKB
N60,S Adlershof,SAH02BN,Tuesday,1.31666666666666,1.7,Tuesday,Flughafen Schönefeld,SXF01B,8.36,6,4454943,CKB
N60,Flughafen Schönefeld,SXF01B,Tuesday,1.8,2.1,Tuesday,S Adlershof,SAH02BN,9067,13,4454943,CKB
N60,S Adlershof,SAH02BN,Tuesday,2.31666666666666,2.7,Tuesday,Flughafen Schönefeld,SXF01B,8.36,6,4454943,CKB
N60,Flughafen Schönefeld,SXF01B,Tuesday,2.8,3.1,Tuesday,S Adlershof,SAH02BN,9067,13,4454943,CKB
N60,S Adlershof,SAH02BN,Tuesday,3.31666666666666,3.7,Tuesday,Flughafen Schönefeld,SXF01B,8.36,6,4454943,CKB
N60,Flughafen Schönefeld,SXF01B,Tuesday,3.8,4.1,Tuesday,S Adlershof,SAH02BN,9067,0,4454943,CKB
N60,S Adlershof,SAH02BN,Tuesday,4.1,4.1,Tuesday,Betriebshof A Aussetzen,BF A A,0.06,0,4454943,CKB
160,Betriebshof A,BF A E,Monday,22.1833333333333,22.1833333333333,Monday,Hasselwerderstr.,HAWR01B,0.06,0,4454948,CKB
160,Hasselwerderstr.,HAWR01B,Monday,22.1833333333333,22.7333333333333,Monday,Siriusstr.,SIRI01B,14519,4,4454948,CKB
160,Siriusstr.,SIRI01B,Monday,22.8,23.3833333333333,Monday,Hasselwerderstr.,HAWR01B,13541,8,4454948,CKB
160,Hasselwerderstr.,HAWR01B,Monday,23.5166666666666,24.0666666666666,Tuesday,Siriusstr.,SIRI01B,14519,4,4454948,CKB
160,Siriusstr.,SIRI01B,Tuesday,0.133333333333333,0.65,Tuesday,S Schöneweide/Sterndamm,SSWS06B,12213,0,4454948,CKB
N60,S Schöneweide/Sterndamm,SSWS06B,Tuesday,0.65,0.783333333333333,Tuesday,S Adlershof,SAH02BN,4.0,2,4454948,CKB
N60,S Adlershof,SAH02BN,Tuesday,0.816666666666666,1.2,Tuesday,Flughafen Schönefeld,SXF01B,8.36,6,4454948,CKB
N60,Flughafen Schönefeld,SXF01B,Tuesday,1.3,1.6,Tuesday,S Adlershof,SAH02BN,9067,13,4454948,CKB
N60,S Adlershof,SAH02BN,Tuesday,1.81666666666666,2.2,Tuesday,Flughafen Schönefeld,SXF01B,8.36,6,4454948,CKB
N60,Flughafen Schönefeld,SXF01B,Tuesday,2.3,2.6,Tuesday,S Adlershof,SAH02BN,9067,13,4454948,CKB
N60,S Adlershof,SAH02BN,Tuesday,2.81666666666666,3.2,Tuesday,Flughafen Schönefeld,SXF01B,8.36,6,4454948,CKB
N60,Flughafen Schönefeld,SXF01B,Tuesday,3.3,3.6,Tuesday,S Adlershof,SAH02BN,9067,13,4454948,CKB
N60,S Adlershof,SAH02BN,Tuesday,3.81666666666666,4.2,Tuesday,Flughafen Schönefeld,SXF01B,8.36,0,4454948,CKB
N60,Flughafen Schönefeld,SXF01B,Tuesday,4.2,4.2,Tuesday,Betriebshof A,BF A A,0.06,0,4454948,CKB
161,Betriebshof A,BF A E,Monday,21.1,21.1,Monday,S Erkner/ZOB,SERZ01B,0.06,0,4664622,CKB
161,S Erkner/ZOB,SERZ01B,Monday,21.1,21.5666666666666,Monday,"Schöneiche, Lübecker Str.",SELS01B,13018,19,4664622,CKB
161,"Schöneiche, Lübecker Str.",SELS01B,Monday,21.8833333333333,22.2166666666666,Monday,Lutherstr.,LUTH01B,10332,17,4664622,CKB
161,Lutherstr.,LUTH01B,Monday,22.5,22.9,Monday,"Schöneiche, Lübecker Str.",SELS01B,10.48,19,4664622,CKB
161,"Schöneiche, Lübecker Str.",SELS01B,Monday,23.2166666666666,23.55,Monday,Lutherstr.,LUTH01B,10332,17,4664622,CKB
