,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
34,bev_luxury,110,5_leisure,0.0,0.8647445102545455,0.8647445102545455,0.0,0,0,22,0,0,0.0
35,bev_luxury,110,driving,0.0,0.8647445102545455,0.8088087488,0.0,0,0,0,23,25,6.15293376
36,bev_luxury,110,0_work,11.0,0.8088087488,1.0,21.031037632000004,42,26,72,0,0,0.0
37,bev_luxury,110,driving,0.0,1.0,0.9422738162909091,0.0,0,0,0,73,79,6.349880208000001
38,bev_luxury,110,4_private/ridesharing,0.0,0.9422738162909091,0.9422738162909091,0.0,0,80,84,0,0,0.0
39,bev_luxury,110,driving,0.0,0.9422738162909091,0.9291650512,0.0,0,0,0,85,86,1.44196416
40,bev_luxury,110,6_home,0.0,0.9291650512,0.9291650512,0.0,0,87,168,0,0,0.0
41,bev_luxury,110,driving,0.0,0.9291650512,0.9234820711272728,0.0,0,0,0,169,170,0.625127808
42,bev_luxury,110,5_leisure,22.0,0.9234820711272728,0.9234820711272728,0.0,0,171,263,0,0,0.0
43,bev_luxury,110,driving,0.0,0.9234820711272728,0.9025248340363636,0.0,0,0,0,264,266,2.3052960799999997
44,bev_luxury,110,3_shopping,22.0,0.9025248340363636,0.9025248340363636,0.0,0,267,276,0,0,0.0
45,bev_luxury,110,driving,0.0,0.9025248340363636,0.8685639938909091,0.0,0,0,0,277,279,3.735692416
46,bev_luxury,110,6_home,0.0,0.8685639938909091,0.8685639938909091,0.0,0,280,363,0,0,0.0
47,bev_luxury,110,driving,0.0,0.8685639938909091,0.8544422891636364,0.0,0,0,0,364,366,1.55338752
48,bev_luxury,110,5_leisure,0.0,0.8544422891636364,0.8544422891636364,0.0,0,367,405,0,0,0.0
49,bev_luxury,110,driving,0.0,0.8544422891636364,0.8301799458909092,0.0,0,0,0,406,407,2.6688577600000003
50,bev_luxury,110,0_work,11.0,0.8301799458909092,1.0,18.680205951999994,36,408,446,0,0,0.0
51,bev_luxury,110,driving,0.0,1.0,0.9520482264727272,0.0,0,0,0,447,450,5.274695088000001
52,bev_luxury,110,4_private/ridesharing,0.0,0.9520482264727272,0.9520482264727272,0.0,0,451,458,0,0,0.0
53,bev_luxury,110,driving,0.0,0.9520482264727272,0.9441524801454545,0.0,0,0,0,459,460,0.8685320960000001
54,bev_luxury,110,6_home,0.0,0.9441524801454545,0.9441524801454545,0.0,0,461,535,0,0,0.0
55,bev_luxury,110,driving,0.0,0.9441524801454545,0.9117468719999999,0.0,0,0,0,536,538,3.564616896
56,bev_luxury,110,5_leisure,0.0,0.9117468719999999,0.9117468719999999,0.0,0,539,573,0,0,0.0
57,bev_luxury,110,driving,0.0,0.9117468719999999,0.8947283428363636,0.0,0,0,0,574,576,1.8720382079999998
58,bev_luxury,110,6_home,0.0,0.8947283428363636,0.8947283428363636,0.0,0,577,606,0,0,0.0
59,bev_luxury,110,driving,0.0,0.8947283428363636,0.8653982526545454,0.0,0,0,0,607,608,3.22630992
60,bev_luxury,110,0_work,11.0,0.8653982526545454,1.0,14.806192208000006,44,609,652,0,0,0.0
61,bev_luxury,110,driving,0.0,1.0,0.9908009989818182,0.0,0,0,0,653,654,1.0118901120000001
62,bev_luxury,110,6_home,0.0,0.9908009989818182,0.9908009989818182,0.0,0,655,705,0,0,0.0
63,bev_luxury,110,driving,0.0,0.9908009989818182,0.9373991109818182,0.0,0,0,0,706,710,5.8742076800000005
