,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
32,phev_medium,20,6_home,11.0,0.6386592268000002,1.0,7.226815463999996,28,0,28,0,0,0.0
33,phev_medium,20,driving,0.0,1.0,0.833229748,0.0,0,0,0,29,38,3.3354050399999995
34,phev_medium,20,0_work,0.0,0.833229748,0.833229748,0.0,0,39,126,0,0,0.0
35,phev_medium,20,driving,0.0,0.833229748,0.0,0.0,0,0,0,127,137,16.664594960000002
36,phev_medium,20,4_private/ridesharing,0.0,0.0,0.0,0.0,0,138,141,0,0,0.0
37,phev_medium,20,driving,0.0,0.0,0.0,0.0,0,0,0,142,144,0.0
38,phev_medium,20,6_home,11.0,0.0,1.0,20.0,83,145,228,0,0,0.0
39,phev_medium,20,driving,0.0,1.0,0.954027073,0.0,0,0,0,229,230,0.9194585400000002
40,phev_medium,20,4_private/ridesharing,0.0,0.954027073,0.954027073,0.0,0,231,234,0,0,0.0
41,phev_medium,20,driving,0.0,0.954027073,0.8988239206,0.0,0,0,0,235,239,1.104063048
42,phev_medium,20,6_home,11.0,0.8988239206,1.0,2.023521587999999,23,240,268,0,0,0.0
43,phev_medium,20,driving,0.0,1.0,0.8306218801,0.0,0,0,0,269,272,3.3875623979999996
44,phev_medium,20,4_private/ridesharing,0.0,0.8306218801,0.8306218801,0.0,0,273,374,0,0,0.0
45,phev_medium,20,driving,0.0,0.8306218801,0.7510423933000001,0.0,0,0,0,375,377,1.5915897359999998
46,phev_medium,20,6_home,11.0,0.7510423933000001,1.0,4.979152133999998,93,378,476,0,0,0.0
47,phev_medium,20,driving,0.0,1.0,0.9585976357,0.0,0,0,0,477,478,0.8280472860000001
48,phev_medium,20,4_private/ridesharing,0.0,0.9585976357,0.9585976357,0.0,0,479,498,0,0,0.0
49,phev_medium,20,driving,0.0,0.9585976357,0.5682198853,0.0,0,0,0,499,504,7.807555008
50,phev_medium,20,6_home,11.0,0.5682198853,1.0,8.635602294,60,505,607,0,0,0.0
