,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
28,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,0,60,0,0,0.0
29,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,61,63,0.0
30,phev_mini,14,3_shopping,0.0,0.0,0.0,0.0,0,64,65,0,0,0.0
31,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,66,67,0.0
32,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,68,148,0,0,0.0
33,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,149,150,0.0
34,phev_mini,14,3_shopping,3.7,0.0,0.13214285714285715,1.85,2,151,154,0,0,0.0
35,phev_mini,14,driving,0.0,0.13214285714285715,0.0,0.0,0,0,0,155,159,1.85
36,phev_mini,14,4_private/ridesharing,0.0,0.0,0.0,0.0,0,160,174,0,0,0.0
37,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,175,176,0.0
38,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,177,210,0,0,0.0
39,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,211,212,0.0
40,phev_mini,14,0_work,0.0,0.0,0.0,0.0,0,213,254,0,0,0.0
41,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,255,256,0.0
42,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,257,259,0,0,0.0
43,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,260,261,0.0
44,phev_mini,14,4_private/ridesharing,0.0,0.0,0.0,0.0,0,262,272,0,0,0.0
45,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,273,274,0.0
46,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,275,326,0,0,0.0
47,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,327,330,0.0
48,phev_mini,14,4_private/ridesharing,0.0,0.0,0.0,0.0,0,331,344,0,0,0.0
49,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,345,346,0.0
50,phev_mini,14,5_leisure,0.0,0.0,0.0,0.0,0,347,367,0,0,0.0
51,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,368,374,0.0
52,phev_mini,14,4_private/ridesharing,0.0,0.0,0.0,0.0,0,375,412,0,0,0.0
53,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,413,415,0.0
54,phev_mini,14,2_school,3.7,0.0,1.0,14.0,35,416,450,0,0,0.0
55,phev_mini,14,driving,0.0,1.0,0.4211930928571429,0.0,0,0,0,451,455,8.1032967
56,phev_mini,14,5_leisure,0.0,0.4211930928571429,0.4211930928571429,0.0,0,456,506,0,0,0.0
57,phev_mini,14,driving,0.0,0.4211930928571429,0.31865925357142866,0.0,0,0,0,507,509,1.4354737499999997
58,phev_mini,14,0_work,0.0,0.31865925357142866,0.31865925357142866,0.0,0,510,552,0,0,0.0
59,phev_mini,14,driving,0.0,0.31865925357142866,0.13724698214285727,0.0,0,0,0,553,554,2.5397717999999996
60,phev_mini,14,6_home,0.0,0.13724698214285727,0.13724698214285727,0.0,0,555,644,0,0,0.0
61,phev_mini,14,driving,0.0,0.13724698214285727,0.0,0.0,0,0,0,645,647,1.9214577500000019
62,phev_mini,14,5_leisure,3.7,0.0,1.0,14.0,16,648,700,0,0,0.0
63,phev_mini,14,driving,0.0,1.0,0.8469646696428572,0.0,0,0,0,701,704,2.1424946249999994
64,phev_mini,14,3_shopping,0.0,0.8469646696428572,0.8469646696428572,0.0,0,705,718,0,0,0.0
65,phev_mini,14,driving,0.0,0.8469646696428572,0.5959350410714287,0.0,0,0,0,719,725,3.5144147999999995
66,phev_mini,14,6_home,0.0,0.5959350410714287,0.5959350410714287,0.0,0,726,795,0,0,0.0
67,phev_mini,14,driving,0.0,0.5959350410714287,0.5577211214285716,0.0,0,0,0,796,797,0.534994875
68,phev_mini,14,2_school,0.0,0.5577211214285716,0.5577211214285716,0.0,0,798,820,0,0,0.0
69,phev_mini,14,driving,0.0,0.5577211214285716,0.0699924785714287,0.0,0,0,0,821,829,6.828201
70,phev_mini,14,6_home,0.0,0.0699924785714287,0.0699924785714287,0.0,0,830,905,0,0,0.0
71,phev_mini,14,driving,0.0,0.0699924785714287,0.0,0.0,0,0,0,906,912,0.9798947000000019
72,phev_mini,14,3_shopping,3.7,0.0,0.2642857142857143,3.7,4,913,916,0,0,0.0
73,phev_mini,14,driving,0.0,0.2642857142857143,0.20818468571428572,0.0,0,0,0,917,918,0.7854144
74,phev_mini,14,6_home,0.0,0.20818468571428572,0.20818468571428572,0.0,0,919,982,0,0,0.0
75,phev_mini,14,driving,0.0,0.20818468571428572,0.010902596428571443,0.0,0,0,0,983,985,2.76194925
76,phev_mini,14,0_work,0.0,0.010902596428571443,0.010902596428571443,0.0,0,986,1024,0,0,0.0
77,phev_mini,14,driving,0.0,0.010902596428571443,0.0,0.0,0,0,0,1025,1026,0.1526363500000002
78,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,1027,1074,0,0,0.0
79,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1075,1077,0.0
80,phev_mini,14,0_work,0.0,0.0,0.0,0.0,0,1078,1103,0,0,0.0
81,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1104,1106,0.0
82,phev_mini,14,3_shopping,3.7,0.0,0.13214285714285715,1.85,2,1107,1108,0,0,0.0
83,phev_mini,14,driving,0.0,0.13214285714285715,0.0,0.0,0,0,0,1109,1118,1.85
84,phev_mini,14,4_private/ridesharing,0.0,0.0,0.0,0.0,0,1119,1122,0,0,0.0
85,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1123,1126,0.0
86,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,1127,1140,0,0,0.0
87,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1141,1142,0.0
88,phev_mini,14,0_work,0.0,0.0,0.0,0.0,0,1143,1172,0,0,0.0
89,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1173,1174,0.0
90,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,1175,1196,0,0,0.0
91,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1197,1201,0.0
92,phev_mini,14,4_private/ridesharing,0.0,0.0,0.0,0.0,0,1202,1207,0,0,0.0
93,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1208,1218,0.0
94,phev_mini,14,5_leisure,0.0,0.0,0.0,0.0,0,1219,1226,0,0,0.0
95,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,1227,1230,0.0
