,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
34,phev_luxury,30,6_home,3.7,0.5750903879333333,1.0,12.747288361999999,26,0,26,0,0,0.0
35,phev_luxury,30,driving,0.0,1.0,0.9503602723333333,0.0,0,0,0,27,29,1.48919183
36,phev_luxury,30,0_work,11.0,0.9503602723333333,0.9503602723333333,0.0,0,30,72,0,0,0.0
37,phev_luxury,30,driving,0.0,0.9503602723333333,0.920218392,0.0,0,0,0,73,74,0.9042564099999999
38,phev_luxury,30,3_shopping,0.0,0.920218392,0.920218392,0.0,0,75,99,0,0,0.0
39,phev_luxury,30,driving,0.0,0.920218392,0.8857427856666666,0.0,0,0,0,100,101,1.03426819
40,phev_luxury,30,0_work,11.0,0.8857427856666666,1.0,3.4277164300000007,37,102,139,0,0,0.0
41,phev_luxury,30,driving,0.0,1.0,0.9211181336666666,0.0,0,0,0,140,143,2.3664559900000004
42,phev_luxury,30,3_shopping,0.0,0.9211181336666666,0.9211181336666666,0.0,0,144,148,0,0,0.0
43,phev_luxury,30,driving,0.0,0.9211181336666666,0.9031023479333333,0.0,0,0,0,149,150,0.540473572
44,phev_luxury,30,6_home,3.7,0.9031023479333333,1.0,2.906929562,89,151,239,0,0,0.0
45,phev_luxury,30,driving,0.0,1.0,0.9563983406666666,0.0,0,0,0,240,241,1.30804978
46,phev_luxury,30,4_private/ridesharing,0.0,0.9563983406666666,0.9563983406666666,0.0,0,242,260,0,0,0.0
47,phev_luxury,30,driving,0.0,0.9563983406666666,0.9205093025333333,0.0,0,0,0,261,264,1.0766711439999999
48,phev_luxury,30,6_home,3.7,0.9205093025333333,1.0,2.384720924000001,15,265,304,0,0,0.0
49,phev_luxury,30,driving,0.0,1.0,0.946569242,0.0,0,0,0,305,307,1.60292274
50,phev_luxury,30,0_work,11.0,0.946569242,1.0,1.602922739999999,41,308,348,0,0,0.0
51,phev_luxury,30,driving,0.0,1.0,0.9806892276666667,0.0,0,0,0,349,352,0.57932317
52,phev_luxury,30,3_shopping,0.0,0.9806892276666667,0.9806892276666667,0.0,0,353,360,0,0,0.0
53,phev_luxury,30,driving,0.0,0.9806892276666667,0.8852226815333333,0.0,0,0,0,361,364,2.863996384
54,phev_luxury,30,6_home,3.7,0.8852226815333333,1.0,3.4433195540000017,59,365,424,0,0,0.0
55,phev_luxury,30,driving,0.0,1.0,0.9806892276666667,0.0,0,0,0,425,426,0.57932317
56,phev_luxury,30,3_shopping,0.0,0.9806892276666667,0.9806892276666667,0.0,0,427,431,0,0,0.0
57,phev_luxury,30,driving,0.0,0.9806892276666667,0.9539307323333334,0.0,0,0,0,432,433,0.80275486
58,phev_luxury,30,5_leisure,0.0,0.9539307323333334,0.9539307323333334,0.0,0,434,514,0,0,0.0
59,phev_luxury,30,driving,0.0,0.9539307323333334,0.931912183,0.0,0,0,0,515,516,0.66055648
60,phev_luxury,30,3_shopping,0.0,0.931912183,0.931912183,0.0,0,517,520,0,0,0.0
61,phev_luxury,30,driving,0.0,0.931912183,0.6279243588666666,0.0,0,0,0,521,526,9.119634724
62,phev_luxury,30,6_home,3.7,0.6279243588666666,1.0,11.162269234,19,527,548,0,0,0.0
63,phev_luxury,30,driving,0.0,1.0,0.9468393426666667,0.0,0,0,0,549,550,1.5948197199999998
