,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
32,phev_mini,14,6_home,0.0,0.6360436000000002,0.6360436000000002,0.0,0,0,29,0,0,0.0
33,phev_mini,14,driving,0.0,0.6360436000000002,0.46227095714285726,0.0,0,0,0,30,32,2.432817
34,phev_mini,14,0_work,0.0,0.46227095714285726,0.46227095714285726,0.0,0,33,70,0,0,0.0
35,phev_mini,14,driving,0.0,0.46227095714285726,0.4280310571428573,0.0,0,0,0,71,74,0.4793585999999999
36,phev_mini,14,6_home,0.0,0.4280310571428573,0.4280310571428573,0.0,0,75,170,0,0,0.0
37,phev_mini,14,driving,0.0,0.4280310571428573,0.40238309285714297,0.0,0,0,0,171,172,0.3590715
38,phev_mini,14,5_leisure,0.0,0.40238309285714297,0.40238309285714297,0.0,0,173,220,0,0,0.0
39,phev_mini,14,driving,0.0,0.40238309285714297,0.2881698517857144,0.0,0,0,0,221,222,1.598985375
40,phev_mini,14,0_work,0.0,0.2881698517857144,0.2881698517857144,0.0,0,223,253,0,0,0.0
41,phev_mini,14,driving,0.0,0.2881698517857144,0.24542086964285725,0.0,0,0,0,254,255,0.59848575
42,phev_mini,14,6_home,0.0,0.24542086964285725,0.24542086964285725,0.0,0,256,316,0,0,0.0
43,phev_mini,14,driving,0.0,0.24542086964285725,0.13120762857142867,0.0,0,0,0,317,318,1.598985375
44,phev_mini,14,0_work,0.0,0.13120762857142867,0.13120762857142867,0.0,0,319,342,0,0,0.0
45,phev_mini,14,driving,0.0,0.13120762857142867,0.045913235714285835,0.0,0,0,0,343,345,1.1941214999999998
46,phev_mini,14,6_home,0.0,0.045913235714285835,0.045913235714285835,0.0,0,346,356,0,0,0.0
47,phev_mini,14,driving,0.0,0.045913235714285835,0.0,0.0,0,0,0,357,360,0.6427853000000017
48,phev_mini,14,5_leisure,0.0,0.0,0.0,0.0,0,361,454,0,0,0.0
49,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,455,459,0.0
50,phev_mini,14,0_work,0.0,0.0,0.0,0.0,0,460,512,0,0,0.0
51,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,513,516,0.0
52,phev_mini,14,3_shopping,0.0,0.0,0.0,0.0,0,517,528,0,0,0.0
53,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,529,535,0.0
54,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,536,625,0,0,0.0
55,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,626,628,0.0
56,phev_mini,14,5_leisure,0.0,0.0,0.0,0.0,0,629,638,0,0,0.0
57,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,639,642,0.0
58,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,643,704,0,0,0.0
59,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,705,707,0.0
60,phev_mini,14,4_private/ridesharing,3.7,0.0,0.8589285714285715,12.025,13,708,726,0,0,0.0
61,phev_mini,14,driving,0.0,0.8589285714285715,0.8331977535714287,0.0,0,0,0,727,728,0.36023144999999995
62,phev_mini,14,6_home,0.0,0.8331977535714287,0.8331977535714287,0.0,0,729,796,0,0,0.0
63,phev_mini,14,driving,0.0,0.8331977535714287,0.7406424767857144,0.0,0,0,0,797,799,1.2957738749999999
64,phev_mini,14,0_work,0.0,0.7406424767857144,0.7406424767857144,0.0,0,800,838,0,0,0.0
65,phev_mini,14,driving,0.0,0.7406424767857144,0.6553480839285716,0.0,0,0,0,839,841,1.1941214999999998
66,phev_mini,14,6_home,0.0,0.6553480839285716,0.6553480839285716,0.0,0,842,895,0,0,0.0
67,phev_mini,14,driving,0.0,0.6553480839285716,0.5875058696428573,0.0,0,0,0,896,898,0.9497909999999999
68,phev_mini,14,4_private/ridesharing,0.0,0.5875058696428573,0.5875058696428573,0.0,0,899,909,0,0,0.0
69,phev_mini,14,driving,0.0,0.5875058696428573,0.5367214142857145,0.0,0,0,0,910,912,0.7109823749999999
70,phev_mini,14,3_shopping,3.7,0.5367214142857145,0.5367214142857145,0.0,0,913,915,0,0,0.0
71,phev_mini,14,driving,0.0,0.5367214142857145,0.5037255392857145,0.0,0,0,0,916,917,0.46194224999999994
72,phev_mini,14,0_work,0.0,0.5037255392857145,0.5037255392857145,0.0,0,918,990,0,0,0.0
73,phev_mini,14,driving,0.0,0.5037255392857145,0.44907373571428594,0.0,0,0,0,991,994,0.76512525
74,phev_mini,14,3_shopping,3.7,0.44907373571428594,0.7794308785714288,4.625,5,995,1004,0,0,0.0
75,phev_mini,14,driving,0.0,0.7794308785714288,0.756138235714286,0.0,0,0,0,1005,1006,0.326097
76,phev_mini,14,4_private/ridesharing,0.0,0.756138235714286,0.756138235714286,0.0,0,1007,1021,0,0,0.0
77,phev_mini,14,driving,0.0,0.756138235714286,0.7179207535714288,0.0,0,0,0,1022,1023,0.53504475
78,phev_mini,14,5_leisure,3.7,0.7179207535714288,1.0,3.9491094499999964,10,1024,1034,0,0,0.0
79,phev_mini,14,driving,0.0,1.0,0.9572510178571428,0.0,0,0,0,1035,1036,0.59848575
80,phev_mini,14,6_home,0.0,0.9572510178571428,0.9572510178571428,0.0,0,1037,1122,0,0,0.0
81,phev_mini,14,driving,0.0,0.9572510178571428,0.9258033035714286,0.0,0,0,0,1123,1125,0.44026799999999994
82,phev_mini,14,3_shopping,0.0,0.9258033035714286,0.9258033035714286,0.0,0,1126,1128,0,0,0.0
83,phev_mini,14,driving,0.0,0.9258033035714286,0.8915634035714286,0.0,0,0,0,1129,1131,0.4793585999999999
84,phev_mini,14,6_home,0.0,0.8915634035714286,0.8915634035714286,0.0,0,1132,1208,0,0,0.0
