,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
44,bev_medium,90,6_home,11.0,0.981105564,0.981105564,0.0,0,0,21,0,0,0.0
45,bev_medium,90,driving,0.0,0.981105564,0.951417744,0.0,0,0,0,22,26,2.6719038000000004
46,bev_medium,90,0_work,11.0,0.951417744,0.951417744,0.0,0,27,40,0,0,0.0
47,bev_medium,90,driving,0.0,0.951417744,0.936762014,0.0,0,0,0,41,43,1.3190157
48,bev_medium,90,5_leisure,0.0,0.936762014,0.936762014,0.0,0,44,140,0,0,0.0
49,bev_medium,90,driving,0.0,0.936762014,0.920603948,0.0,0,0,0,141,142,1.45422594
50,bev_medium,90,4_private/ridesharing,0.0,0.920603948,0.920603948,0.0,0,143,148,0,0,0.0
51,bev_medium,90,driving,0.0,0.920603948,0.893877247,0.0,0,0,0,149,151,2.40540309
52,bev_medium,90,6_home,11.0,0.893877247,1.0,9.551047769999997,4,152,156,0,0,0.0
53,bev_medium,90,driving,0.0,1.0,0.986470149,0.0,0,0,0,157,159,1.21768659
54,bev_medium,90,3_shopping,0.0,0.986470149,0.986470149,0.0,0,160,162,0,0,0.0
55,bev_medium,90,driving,0.0,0.986470149,0.9785408839999999,0.0,0,0,0,163,164,0.71363385
56,bev_medium,90,6_home,11.0,0.9785408839999999,0.9785408839999999,0.0,0,165,218,0,0,0.0
57,bev_medium,90,driving,0.0,0.9785408839999999,0.9719351839999999,0.0,0,0,0,219,220,0.594513
58,bev_medium,90,0_work,11.0,0.9719351839999999,0.9719351839999999,0.0,0,221,251,0,0,0.0
59,bev_medium,90,driving,0.0,0.9719351839999999,0.9281619939999999,0.0,0,0,0,252,255,3.9395871000000002
60,bev_medium,90,5_leisure,0.0,0.9281619939999999,0.9281619939999999,0.0,0,256,262,0,0,0.0
61,bev_medium,90,driving,0.0,0.9281619939999999,0.9237669239999999,0.0,0,0,0,263,264,0.39555629999999997
62,bev_medium,90,4_private/ridesharing,0.0,0.9237669239999999,0.9237669239999999,0.0,0,265,273,0,0,0.0
63,bev_medium,90,driving,0.0,0.9237669239999999,0.9064389409999999,0.0,0,0,0,274,276,1.5595184700000002
64,bev_medium,90,6_home,11.0,0.9064389409999999,1.0,8.42049531000001,13,277,312,0,0,0.0
65,bev_medium,90,driving,0.0,1.0,0.81899606,0.0,0,0,0,313,321,16.2903546
66,bev_medium,90,0_work,11.0,0.81899606,1.0,16.290354599999997,18,322,344,0,0,0.0
67,bev_medium,90,driving,0.0,1.0,0.982672017,0.0,0,0,0,345,347,1.5595184700000002
68,bev_medium,90,6_home,11.0,0.982672017,0.982672017,0.0,0,348,411,0,0,0.0
69,bev_medium,90,driving,0.0,0.982672017,0.922849207,0.0,0,0,0,412,417,5.384052900000001
70,bev_medium,90,0_work,11.0,0.922849207,1.0,6.943571370000004,44,418,478,0,0,0.0
71,bev_medium,90,driving,0.0,1.0,0.965441034,0.0,0,0,0,479,480,3.11030694
72,bev_medium,90,6_home,11.0,0.965441034,0.965441034,0.0,0,481,510,0,0,0.0
73,bev_medium,90,driving,0.0,0.965441034,0.9298348172,0.0,0,0,0,511,515,3.204559512
74,bev_medium,90,2_school,0.0,0.9298348172,0.9298348172,0.0,0,516,548,0,0,0.0
75,bev_medium,90,driving,0.0,0.9298348172,0.9153099402,0.0,0,0,0,549,553,1.30723893
76,bev_medium,90,3_shopping,0.0,0.9153099402,0.9153099402,0.0,0,554,556,0,0,0.0
77,bev_medium,90,driving,0.0,0.9153099402,0.8854503332,0.0,0,0,0,557,558,2.6873646300000003
78,bev_medium,90,6_home,11.0,0.8854503332,1.0,10.309470012,70,559,628,0,0,0.0
79,bev_medium,90,driving,0.0,1.0,0.993924502,0.0,0,0,0,629,630,0.54679482
80,bev_medium,90,4_private/ridesharing,0.0,0.993924502,0.993924502,0.0,0,631,642,0,0,0.0
81,bev_medium,90,driving,0.0,0.993924502,0.9828623310000001,0.0,0,0,0,643,645,0.99559539
82,bev_medium,90,6_home,11.0,0.9828623310000001,0.9828623310000001,0.0,0,646,654,0,0,0.0
83,bev_medium,90,driving,0.0,0.9828623310000001,0.9652948550000001,0.0,0,0,0,655,656,1.5810728400000005
84,bev_medium,90,5_leisure,22.0,0.9652948550000001,0.9652948550000001,0.0,0,657,663,0,0,0.0
85,bev_medium,90,driving,0.0,0.9652948550000001,0.9589320430000001,0.0,0,0,0,664,665,0.57265308
86,bev_medium,90,6_home,11.0,0.9589320430000001,0.9589320430000001,0.0,0,666,696,0,0,0.0
87,bev_medium,90,driving,0.0,0.9589320430000001,0.9468947310000001,0.0,0,0,0,697,701,1.08335808
88,bev_medium,90,3_shopping,0.0,0.9468947310000001,0.9468947310000001,0.0,0,702,705,0,0,0.0
89,bev_medium,90,driving,0.0,0.9468947310000001,0.9290562370000001,0.0,0,0,0,706,708,1.60546446
90,bev_medium,90,4_private/ridesharing,11.0,0.9290562370000001,0.9290562370000001,0.0,0,709,720,0,0,0.0
91,bev_medium,90,driving,0.0,0.9290562370000001,0.9179940660000001,0.0,0,0,0,721,722,0.99559539
92,bev_medium,90,6_home,11.0,0.9179940660000001,1.0,7.38053405999999,64,723,802,0,0,0.0
93,bev_medium,90,driving,0.0,1.0,0.993084288,0.0,0,0,0,803,805,0.62241408
94,bev_medium,90,4_private/ridesharing,22.0,0.993084288,0.993084288,0.0,0,806,817,0,0,0.0
95,bev_medium,90,driving,0.0,0.993084288,0.98358857,0.0,0,0,0,818,819,0.8546146199999999
96,bev_medium,90,6_home,11.0,0.98358857,0.98358857,0.0,0,820,824,0,0,0.0
97,bev_medium,90,driving,0.0,0.98358857,0.4681125279999999,0.0,0,0,0,825,849,46.39284378000001
98,bev_medium,90,5_leisure,22.0,0.4681125279999999,1.0,47.869872480000005,27,850,893,0,0,0.0
99,bev_medium,90,driving,0.0,1.0,0.98249441,0.0,0,0,0,894,896,1.5755031000000002
100,bev_medium,90,0_work,11.0,0.98249441,0.98249441,0.0,0,897,934,0,0,0.0
101,bev_medium,90,driving,0.0,0.98249441,0.974565145,0.0,0,0,0,935,938,0.71363385
102,bev_medium,90,6_home,11.0,0.974565145,0.974565145,0.0,0,939,1028,0,0,0.0
103,bev_medium,90,driving,0.0,0.974565145,0.9660359350000001,0.0,0,0,0,1029,1030,0.7676289
104,bev_medium,90,0_work,11.0,0.9660359350000001,0.9660359350000001,0.0,0,1031,1054,0,0,0.0
105,bev_medium,90,driving,0.0,0.9660359350000001,0.9604662920000001,0.0,0,0,0,1055,1056,0.5012678700000001
106,bev_medium,90,3_shopping,0.0,0.9604662920000001,0.9604662920000001,0.0,0,1057,1082,0,0,0.0
107,bev_medium,90,driving,0.0,0.9604662920000001,0.9506547420000001,0.0,0,0,0,1083,1084,0.8830395000000001
108,bev_medium,90,0_work,11.0,0.9506547420000001,0.9506547420000001,0.0,0,1085,1124,0,0,0.0
109,bev_medium,90,driving,0.0,0.9506547420000001,0.9462596720000002,0.0,0,0,0,1125,1126,0.39555629999999997
110,bev_medium,90,4_private/ridesharing,0.0,0.9462596720000002,0.9462596720000002,0.0,0,1127,1137,0,0,0.0
111,bev_medium,90,driving,0.0,0.9462596720000002,0.9383304070000001,0.0,0,0,0,1138,1139,0.71363385
112,bev_medium,90,6_home,11.0,0.9383304070000001,1.0,5.550263369999987,90,1140,1285,0,0,0.0
113,bev_medium,90,driving,0.0,1.0,0.937630164,0.0,0,0,0,1286,1289,5.61328524
114,bev_medium,90,4_private/ridesharing,0.0,0.937630164,0.937630164,0.0,0,1290,1295,0,0,0.0
115,bev_medium,90,driving,0.0,0.937630164,0.92588618,0.0,0,0,0,1296,1297,1.05695856
116,bev_medium,90,5_leisure,11.0,0.92588618,0.92588618,0.0,0,1298,1310,0,0,0.0
117,bev_medium,90,driving,0.0,0.92588618,0.900725932,0.0,0,0,0,1311,1312,2.26442232
118,bev_medium,90,6_home,11.0,0.900725932,1.0,8.934666120000005,51,1313,1344,0,0,0.0
