,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
30,phev_medium,20,6_home,3.7,0.7945349545,1.0,4.10930091,25,0,25,0,0,0.0
31,phev_medium,20,driving,0.0,1.0,0.98144047,0.0,0,0,0,26,27,0.37119060000000004
32,phev_medium,20,0_work,3.7,0.98144047,0.98144047,0.0,0,28,55,0,0,0.0
33,phev_medium,20,driving,0.0,0.98144047,0.934242418,0.0,0,0,0,56,57,0.9439610399999998
34,phev_medium,20,4_private/ridesharing,11.0,0.934242418,0.934242418,0.0,0,58,123,0,0,0.0
35,phev_medium,20,driving,0.0,0.934242418,0.912738133,0.0,0,0,0,124,125,0.43008570000000007
36,phev_medium,20,0_work,3.7,0.912738133,1.0,1.745237340000001,36,126,161,0,0,0.0
37,phev_medium,20,driving,0.0,1.0,0.929648422,0.0,0,0,0,162,164,1.4070315599999996
38,phev_medium,20,4_private/ridesharing,0.0,0.929648422,0.929648422,0.0,0,165,168,0,0,0.0
39,phev_medium,20,driving,0.0,0.929648422,0.5766783265,0.0,0,0,0,169,177,7.059401909999999
40,phev_medium,20,6_home,3.7,0.5766783265,1.0,8.466433470000002,61,178,240,0,0,0.0
41,phev_medium,20,driving,0.0,1.0,0.9652799575,0.0,0,0,0,241,242,0.69440085
42,phev_medium,20,3_shopping,11.0,0.9652799575,0.9652799575,0.0,0,243,254,0,0,0.0
43,phev_medium,20,driving,0.0,0.9652799575,0.828141247,0.0,0,0,0,255,259,2.74277421
44,phev_medium,20,6_home,3.7,0.828141247,1.0,3.4371750599999995,82,260,343,0,0,0.0
45,phev_medium,20,driving,0.0,1.0,0.956660869,0.0,0,0,0,344,346,0.86678262
46,phev_medium,20,4_private/ridesharing,0.0,0.956660869,0.956660869,0.0,0,347,352,0,0,0.0
47,phev_medium,20,driving,0.0,0.956660869,0.8442518635,0.0,0,0,0,353,358,2.24818011
48,phev_medium,20,3_shopping,0.0,0.8442518635,0.8442518635,0.0,0,359,362,0,0,0.0
49,phev_medium,20,driving,0.0,0.8442518635,0.7568817400000001,0.0,0,0,0,363,365,1.74740247
50,phev_medium,20,5_leisure,0.0,0.7568817400000001,0.7568817400000001,0.0,0,366,440,0,0,0.0
