,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
34,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,0,26,0,0,0.0
35,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,27,36,0.0
36,phev_mini,14,0_work,3.7,0.0,1.0,14.0,19,37,57,0,0,0.0
37,phev_mini,14,driving,0.0,1.0,0.9048360571428572,0.0,0,0,0,58,59,1.3322952
38,phev_mini,14,6_home,0.0,0.9048360571428572,0.9048360571428572,0.0,0,60,63,0,0,0.0
39,phev_mini,14,driving,0.0,0.9048360571428572,0.8357663071428572,0.0,0,0,0,64,66,0.9669764999999999
40,phev_mini,14,3_shopping,0.0,0.8357663071428572,0.8357663071428572,0.0,0,67,69,0,0,0.0
41,phev_mini,14,driving,0.0,0.8357663071428572,0.7767407714285715,0.0,0,0,0,70,71,0.8263575
42,phev_mini,14,0_work,3.7,0.7767407714285715,1.0,3.1256291999999997,31,72,128,0,0,0.0
43,phev_mini,14,driving,0.0,1.0,0.9038633928571429,0.0,0,0,0,129,131,1.3459124999999998
44,phev_mini,14,2_school,0.0,0.9038633928571429,0.9038633928571429,0.0,0,132,161,0,0,0.0
45,phev_mini,14,driving,0.0,0.9038633928571429,0.7883944214285715,0.0,0,0,0,162,164,1.6165655999999997
46,phev_mini,14,6_home,0.0,0.7883944214285715,0.7883944214285715,0.0,0,165,228,0,0,0.0
47,phev_mini,14,driving,0.0,0.7883944214285715,0.6605525821428573,0.0,0,0,0,229,232,1.7897857499999998
48,phev_mini,14,3_shopping,3.7,0.6605525821428573,0.9248382964285715,3.7,4,233,239,0,0,0.0
49,phev_mini,14,driving,0.0,0.9248382964285715,0.36692229642857155,0.0,0,0,0,240,254,7.810823999999999
50,phev_mini,14,5_leisure,0.0,0.36692229642857155,0.36692229642857155,0.0,0,255,262,0,0,0.0
51,phev_mini,14,driving,0.0,0.36692229642857155,0.0,0.0,0,0,0,263,277,5.1369121500000015
52,phev_mini,14,6_home,0.0,0.0,0.0,0.0,0,278,348,0,0,0.0
53,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,349,352,0.0
54,phev_mini,14,4_private/ridesharing,0.0,0.0,0.0,0.0,0,353,355,0,0,0.0
55,phev_mini,14,driving,0.0,0.0,0.0,0.0,0,0,0,356,358,0.0
