,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
36,phev_luxury,30,6_home,0.0,0.6677184540000002,0.6677184540000002,0.0,0,0,27,0,0,0.0
37,phev_luxury,30,driving,0.0,0.6677184540000002,0.5109809613333336,0.0,0,0,0,28,30,4.702124779999999
38,phev_luxury,30,0_work,11.0,0.5109809613333336,1.0,14.670571159999993,25,31,57,0,0,0.0
39,phev_luxury,30,driving,0.0,1.0,0.8215910266666667,0.0,0,0,0,58,62,5.352269199999999
40,phev_luxury,30,6_home,0.0,0.8215910266666667,0.8215910266666667,0.0,0,63,67,0,0,0.0
41,phev_luxury,30,driving,0.0,0.8215910266666667,0.586119546,0.0,0,0,0,68,71,7.06414442
42,phev_luxury,30,4_private/ridesharing,0.0,0.586119546,0.586119546,0.0,0,72,80,0,0,0.0
43,phev_luxury,30,driving,0.0,0.586119546,0.5549446553333334,0.0,0,0,0,81,82,0.9352467199999999
44,phev_luxury,30,6_home,0.0,0.5549446553333334,0.5549446553333334,0.0,0,83,134,0,0,0.0
45,phev_luxury,30,driving,0.0,0.5549446553333334,0.5350926126666667,0.0,0,0,0,135,138,0.59556128
46,phev_luxury,30,3_shopping,11.0,0.5350926126666667,1.0,13.947221619999997,15,139,157,0,0,0.0
47,phev_luxury,30,driving,0.0,1.0,0.9348437373333334,0.0,0,0,0,158,162,1.9546878799999998
48,phev_luxury,30,4_private/ridesharing,11.0,0.9348437373333334,0.9348437373333334,0.0,0,163,168,0,0,0.0
49,phev_luxury,30,driving,0.0,0.9348437373333334,0.8224362493333334,0.0,0,0,0,169,172,3.3722246399999993
50,phev_luxury,30,6_home,0.0,0.8224362493333334,0.8224362493333334,0.0,0,173,234,0,0,0.0
51,phev_luxury,30,driving,0.0,0.8224362493333334,0.77821457,0.0,0,0,0,235,240,1.3266503799999998
52,phev_luxury,30,3_shopping,0.0,0.77821457,0.77821457,0.0,0,241,243,0,0,0.0
53,phev_luxury,30,driving,0.0,0.77821457,0.5642663353333334,0.0,0,0,0,244,247,6.41844704
54,phev_luxury,30,6_home,0.0,0.5642663353333334,0.5642663353333334,0.0,0,248,269,0,0,0.0
55,phev_luxury,30,driving,0.0,0.5642663353333334,0.4660736966666667,0.0,0,0,0,270,272,2.94577916
56,phev_luxury,30,5_leisure,11.0,0.4660736966666667,1.0,16.017789099999998,13,273,317,0,0,0.0
57,phev_luxury,30,driving,0.0,1.0,0.7737347473333334,0.0,0,0,0,318,321,6.78795758
58,phev_luxury,30,4_private/ridesharing,0.0,0.7737347473333334,0.7737347473333334,0.0,0,322,338,0,0,0.0
59,phev_luxury,30,driving,0.0,0.7737347473333334,0.6816354086666667,0.0,0,0,0,339,341,2.7629801599999992
60,phev_luxury,30,6_home,0.0,0.6816354086666667,0.6816354086666667,0.0,0,342,411,0,0,0.0
61,phev_luxury,30,driving,0.0,0.6816354086666667,0.62108226,0.0,0,0,0,412,413,1.8165944600000001
62,phev_luxury,30,4_private/ridesharing,0.0,0.62108226,0.62108226,0.0,0,414,422,0,0,0.0
63,phev_luxury,30,driving,0.0,0.62108226,0.46476025200000004,0.0,0,0,0,423,426,4.689660239999999
64,phev_luxury,30,3_shopping,0.0,0.46476025200000004,0.46476025200000004,0.0,0,427,432,0,0,0.0
65,phev_luxury,30,driving,0.0,0.46476025200000004,0.2907498573333334,0.0,0,0,0,433,436,5.220311839999999
66,phev_luxury,30,5_leisure,0.0,0.2907498573333334,0.2907498573333334,0.0,0,437,526,0,0,0.0
67,phev_luxury,30,driving,0.0,0.2907498573333334,0.17834236933333344,0.0,0,0,0,527,535,3.3722246399999993
68,phev_luxury,30,6_home,0.0,0.17834236933333344,0.17834236933333344,0.0,0,536,608,0,0,0.0
69,phev_luxury,30,driving,0.0,0.17834236933333344,0.12437283533333345,0.0,0,0,0,609,615,1.61908602
70,phev_luxury,30,3_shopping,0.0,0.12437283533333345,0.12437283533333345,0.0,0,616,628,0,0,0.0
71,phev_luxury,30,driving,0.0,0.12437283533333345,0.037011304666666786,0.0,0,0,0,629,631,2.62084592
72,phev_luxury,30,5_leisure,0.0,0.037011304666666786,0.037011304666666786,0.0,0,632,647,0,0,0.0
73,phev_luxury,30,driving,0.0,0.037011304666666786,0.0,0.0,0,0,0,648,651,1.1103391400000036
