,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
40,phev_medium,20,6_home,11.0,0.5647293928000001,1.0,8.705412143999997,46,0,46,0,0,0.0
41,phev_medium,20,driving,0.0,1.0,0.939133117,0.0,0,0,0,47,49,1.2173376599999999
42,phev_medium,20,3_shopping,11.0,0.939133117,0.939133117,0.0,0,50,52,0,0,0.0
43,phev_medium,20,driving,0.0,0.939133117,0.8375297140000001,0.0,0,0,0,53,57,2.0320680599999994
44,phev_medium,20,6_home,11.0,0.8375297140000001,1.0,3.249405719999998,24,58,120,0,0,0.0
45,phev_medium,20,driving,0.0,1.0,0.5302250614,0.0,0,0,0,121,126,9.395498772
46,phev_medium,20,0_work,0.0,0.5302250614,0.5302250614,0.0,0,127,135,0,0,0.0
47,phev_medium,20,driving,0.0,0.5302250614,0.0,0.0,0,0,0,136,143,10.604501228
48,phev_medium,20,4_private/ridesharing,0.0,0.0,0.0,0.0,0,144,148,0,0,0.0
49,phev_medium,20,driving,0.0,0.0,0.0,0.0,0,0,0,149,154,0.0
50,phev_medium,20,5_leisure,11.0,0.0,1.0,20.0,13,155,167,0,0,0.0
51,phev_medium,20,driving,0.0,1.0,0.951714928,0.0,0,0,0,168,170,0.9657014399999998
52,phev_medium,20,6_home,11.0,0.951714928,0.951714928,0.0,0,171,248,0,0,0.0
53,phev_medium,20,driving,0.0,0.951714928,0.832333402,0.0,0,0,0,249,255,2.38763052
54,phev_medium,20,5_leisure,3.7,0.832333402,0.832333402,0.0,0,256,262,0,0,0.0
55,phev_medium,20,driving,0.0,0.832333402,0.7840483300000001,0.0,0,0,0,263,265,0.9657014399999998
56,phev_medium,20,6_home,11.0,0.7840483300000001,1.0,4.319033399999999,43,266,308,0,0,0.0
57,phev_medium,20,driving,0.0,1.0,0.5708193778,0.0,0,0,0,309,313,8.583612444
58,phev_medium,20,0_work,0.0,0.5708193778,0.5708193778,0.0,0,314,355,0,0,0.0
59,phev_medium,20,driving,0.0,0.5708193778,0.4514378518,0.0,0,0,0,356,358,2.38763052
60,phev_medium,20,5_leisure,0.0,0.4514378518,0.4514378518,0.0,0,359,418,0,0,0.0
61,phev_medium,20,driving,0.0,0.4514378518,0.0,0.0,0,0,0,419,431,9.028757036
62,phev_medium,20,4_private/ridesharing,0.0,0.0,0.0,0.0,0,432,445,0,0,0.0
63,phev_medium,20,driving,0.0,0.0,0.0,0.0,0,0,0,446,448,0.0
64,phev_medium,20,3_shopping,0.0,0.0,0.0,0.0,0,449,451,0,0,0.0
65,phev_medium,20,driving,0.0,0.0,0.0,0.0,0,0,0,452,453,0.0
66,phev_medium,20,6_home,11.0,0.0,0.4125,8.25,3,454,457,0,0,0.0
67,phev_medium,20,driving,0.0,0.4125,0.0,0.0,0,0,0,458,473,8.25
68,phev_medium,20,5_leisure,0.0,0.0,0.0,0.0,0,474,510,0,0,0.0
69,phev_medium,20,driving,0.0,0.0,0.0,0.0,0,0,0,511,515,0.0
70,phev_medium,20,4_private/ridesharing,0.0,0.0,0.0,0.0,0,516,523,0,0,0.0
71,phev_medium,20,driving,0.0,0.0,0.0,0.0,0,0,0,524,536,0.0
72,phev_medium,20,6_home,11.0,0.0,1.0,20.0,85,537,621,0,0,0.0
73,phev_medium,20,driving,0.0,1.0,0.973718173,0.0,0,0,0,622,623,0.52563654
74,phev_medium,20,5_leisure,0.0,0.973718173,0.973718173,0.0,0,624,638,0,0,0.0
75,phev_medium,20,driving,0.0,0.973718173,0.866190511,0.0,0,0,0,639,641,2.15055324
76,phev_medium,20,6_home,11.0,0.866190511,1.0,2.67618978,53,642,700,0,0,0.0
77,phev_medium,20,driving,0.0,1.0,0.7365795031,0.0,0,0,0,701,703,5.268409938
78,phev_medium,20,0_work,0.0,0.7365795031,0.7365795031,0.0,0,704,738,0,0,0.0
