,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
42,bev_medium,90,5_leisure,0.0,0.9235358312,0.9235358312,0.0,0,0,76,0,0,0.0
43,bev_medium,90,driving,0.0,0.9235358312,0.8955031998,0.0,0,0,0,77,79,2.522936826
44,bev_medium,90,4_private/ridesharing,22.0,0.8955031998,0.8955031998,0.0,0,80,120,0,0,0.0
45,bev_medium,90,driving,0.0,0.8955031998,0.8540322078,0.0,0,0,0,121,123,3.73238928
46,bev_medium,90,0_work,0.0,0.8540322078,0.8540322078,0.0,0,124,131,0,0,0.0
47,bev_medium,90,driving,0.0,0.8540322078,0.8413963088,0.0,0,0,0,132,138,1.13723091
48,bev_medium,90,6_home,3.7,0.8413963088,0.9544518643555556,10.175,11,139,157,0,0,0.0
49,bev_medium,90,driving,0.0,0.9544518643555556,0.9485349419555557,0.0,0,0,0,158,159,0.5325230160000001
50,bev_medium,90,4_private/ridesharing,0.0,0.9485349419555557,0.9485349419555557,0.0,0,160,212,0,0,0.0
51,bev_medium,90,driving,0.0,0.9485349419555557,0.8812658299555557,0.0,0,0,0,213,217,6.0542200799999994
52,bev_medium,90,0_work,0.0,0.8812658299555557,0.8812658299555557,0.0,0,218,244,0,0,0.0
53,bev_medium,90,driving,0.0,0.8812658299555557,0.8658435089555557,0.0,0,0,0,245,248,1.3880088900000003
54,bev_medium,90,6_home,3.7,0.8658435089555557,0.9069546200666668,3.7,4,249,252,0,0,0.0
55,bev_medium,90,driving,0.0,0.9069546200666668,0.9020147980666668,0.0,0,0,0,253,254,0.44458398
56,bev_medium,90,3_shopping,0.0,0.9020147980666668,0.9020147980666668,0.0,0,255,318,0,0,0.0
57,bev_medium,90,driving,0.0,0.9020147980666668,0.8682832420666668,0.0,0,0,0,319,322,3.03584004
58,bev_medium,90,0_work,0.0,0.8682832420666668,0.8682832420666668,0.0,0,323,339,0,0,0.0
59,bev_medium,90,driving,0.0,0.8682832420666668,0.8601148720666668,0.0,0,0,0,340,341,0.7351533000000001
60,bev_medium,90,3_shopping,11.0,0.8601148720666668,0.8601148720666668,0.0,0,342,356,0,0,0.0
61,bev_medium,90,driving,0.0,0.8601148720666668,0.8307604410666668,0.0,0,0,0,357,361,2.6418987900000004
62,bev_medium,90,6_home,3.7,0.8307604410666668,1.0,15.231560303999988,78,362,441,0,0,0.0
63,bev_medium,90,driving,0.0,1.0,0.973267479,0.0,0,0,0,442,446,2.4059268900000004
64,bev_medium,90,3_shopping,11.0,0.973267479,0.973267479,0.0,0,447,451,0,0,0.0
65,bev_medium,90,driving,0.0,0.973267479,0.9378629446,0.0,0,0,0,452,458,3.1864080959999996
66,bev_medium,90,4_private/ridesharing,22.0,0.9378629446,0.9378629446,0.0,0,459,512,0,0,0.0
67,bev_medium,90,driving,0.0,0.9378629446,0.8704084656,0.0,0,0,0,513,518,6.070903110000001
68,bev_medium,90,5_leisure,0.0,0.8704084656,0.8704084656,0.0,0,519,526,0,0,0.0
69,bev_medium,90,driving,0.0,0.8704084656,0.8521997226,0.0,0,0,0,527,528,1.63878687
70,bev_medium,90,6_home,3.7,0.8521997226,1.0,13.302024966000001,60,529,608,0,0,0.0
71,bev_medium,90,driving,0.0,1.0,0.994253041,0.0,0,0,0,609,610,0.51722631
72,bev_medium,90,3_shopping,22.0,0.994253041,0.994253041,0.0,0,611,615,0,0,0.0
73,bev_medium,90,driving,0.0,0.994253041,0.947162451,0.0,0,0,0,616,621,4.2381531
74,bev_medium,90,5_leisure,22.0,0.947162451,0.947162451,0.0,0,622,633,0,0,0.0
75,bev_medium,90,driving,0.0,0.947162451,0.93174013,0.0,0,0,0,634,636,1.3880088900000003
76,bev_medium,90,6_home,3.7,0.93174013,0.9728512411111111,3.7,4,637,642,0,0,0.0
77,bev_medium,90,driving,0.0,0.9728512411111111,0.9536648933111112,0.0,0,0,0,643,645,1.7267713020000002
78,bev_medium,90,4_private/ridesharing,0.0,0.9536648933111112,0.9536648933111112,0.0,0,646,662,0,0,0.0
79,bev_medium,90,driving,0.0,0.9536648933111112,0.9382425723111112,0.0,0,0,0,663,667,1.3880088900000003
80,bev_medium,90,6_home,3.7,0.9382425723111112,1.0,5.558168491999993,63,668,732,0,0,0.0
81,bev_medium,90,driving,0.0,1.0,0.982145986,0.0,0,0,0,733,736,1.6068612599999998
82,bev_medium,90,3_shopping,22.0,0.982145986,0.982145986,0.0,0,737,740,0,0,0.0
83,bev_medium,90,driving,0.0,0.982145986,0.919354491,0.0,0,0,0,741,750,5.651234550000001
84,bev_medium,90,6_home,3.7,0.919354491,1.0,7.25809581,37,751,794,0,0,0.0
85,bev_medium,90,driving,0.0,1.0,0.957239102,0.0,0,0,0,795,800,3.84848082
86,bev_medium,90,0_work,0.0,0.957239102,0.957239102,0.0,0,801,840,0,0,0.0
87,bev_medium,90,driving,0.0,0.957239102,0.9292778819999999,0.0,0,0,0,841,844,2.5165098000000006
88,bev_medium,90,6_home,3.7,0.9292778819999999,1.0,6.364990620000005,44,845,890,0,0,0.0
89,bev_medium,90,driving,0.0,1.0,0.955949196,0.0,0,0,0,891,895,3.9645723600000005
90,bev_medium,90,0_work,0.0,0.955949196,0.955949196,0.0,0,896,922,0,0,0.0
91,bev_medium,90,driving,0.0,0.955949196,0.897893435,0.0,0,0,0,923,926,5.22501849
92,bev_medium,90,5_leisure,22.0,0.897893435,0.897893435,0.0,0,927,942,0,0,0.0
93,bev_medium,90,driving,0.0,0.897893435,0.8875533708,0.0,0,0,0,943,944,0.930605778
94,bev_medium,90,4_private/ridesharing,0.0,0.8875533708,0.8875533708,0.0,0,945,1000,0,0,0.0
95,bev_medium,90,driving,0.0,0.8875533708,0.8609853618,0.0,0,0,0,1001,1004,2.3911208100000003
96,bev_medium,90,6_home,3.7,0.8609853618,1.0,12.511317438000004,26,1005,1030,0,0,0.0
97,bev_medium,90,driving,0.0,1.0,0.993445904,0.0,0,0,0,1031,1032,0.58986864
98,bev_medium,90,3_shopping,22.0,0.993445904,0.993445904,0.0,0,1033,1035,0,0,0.0
99,bev_medium,90,driving,0.0,0.993445904,0.979250827,0.0,0,0,0,1036,1037,1.27755693
100,bev_medium,90,5_leisure,0.0,0.979250827,0.979250827,0.0,0,1038,1044,0,0,0.0
101,bev_medium,90,driving,0.0,0.979250827,0.972696731,0.0,0,0,0,1045,1046,0.58986864
102,bev_medium,90,3_shopping,0.0,0.972696731,0.972696731,0.0,0,1047,1079,0,0,0.0
103,bev_medium,90,driving,0.0,0.972696731,0.8252392709999999,0.0,0,0,0,1080,1094,13.271171400000004
104,bev_medium,90,4_private/ridesharing,0.0,0.8252392709999999,0.8252392709999999,0.0,0,1095,1118,0,0,0.0
105,bev_medium,90,driving,0.0,0.8252392709999999,0.8000644729999999,0.0,0,0,0,1119,1121,2.26573182
106,bev_medium,90,6_home,3.7,0.8000644729999999,0.841175584111111,3.7,4,1122,1131,0,0,0.0
107,bev_medium,90,driving,0.0,0.841175584111111,0.8222811481111111,0.0,0,0,0,1132,1133,1.70049924
108,bev_medium,90,5_leisure,0.0,0.8222811481111111,0.8222811481111111,0.0,0,1134,1184,0,0,0.0
109,bev_medium,90,driving,0.0,0.8222811481111111,0.785862983111111,0.0,0,0,0,1185,1192,3.2776348500000005
110,bev_medium,90,3_shopping,22.0,0.785862983111111,1.0,19.27233152000001,8,1193,1200,0,0,0.0
111,bev_medium,90,driving,0.0,1.0,0.9763905104,0.0,0,0,0,1201,1206,2.124854064
112,bev_medium,90,4_private/ridesharing,0.0,0.9763905104,0.9763905104,0.0,0,1207,1219,0,0,0.0
113,bev_medium,90,driving,0.0,0.9763905104,0.9480973564,0.0,0,0,0,1220,1223,2.54638386
114,bev_medium,90,5_leisure,0.0,0.9480973564,0.9480973564,0.0,0,1224,1237,0,0,0.0
115,bev_medium,90,driving,0.0,0.9480973564,0.9318597698000001,0.0,0,0,0,1238,1240,1.461382794
116,bev_medium,90,4_private/ridesharing,0.0,0.9318597698000001,0.9318597698000001,0.0,0,1241,1245,0,0,0.0
117,bev_medium,90,driving,0.0,0.9318597698000001,0.8774275408000001,0.0,0,0,0,1246,1250,4.89890061
118,bev_medium,90,6_home,3.7,0.8774275408000001,0.9185386519111112,3.7,4,1251,1290,0,0,0.0
119,bev_medium,90,driving,0.0,0.9185386519111112,0.9043435749111112,0.0,0,0,0,1291,1292,1.27755693
120,bev_medium,90,5_leisure,0.0,0.9043435749111112,0.9043435749111112,0.0,0,1293,1302,0,0,0.0
121,bev_medium,90,driving,0.0,0.9043435749111112,0.9000669419111111,0.0,0,0,0,1303,1304,0.38489697
122,bev_medium,90,6_home,3.7,0.9000669419111111,1.0,8.993975227999996,87,1305,1344,0,0,0.0
