,car_type,bat_cap,location,netto_charging_capacity,SoC_start,SoC_end,chargingdemand,charge_time,park_start,park_end,drive_start,drive_end,consumption
38,phev_luxury,30,6_home,11.0,0.7361977388000001,1.0,7.914067835999998,72,0,72,0,0,0.0
39,phev_luxury,30,driving,0.0,1.0,0.79209019,0.0,0,0,0,73,78,6.2372943
40,phev_luxury,30,3_shopping,11.0,0.79209019,0.79209019,0.0,0,79,117,0,0,0.0
41,phev_luxury,30,driving,0.0,0.79209019,0.753469358,0.0,0,0,0,118,119,1.1586249599999998
42,phev_luxury,30,0_work,0.0,0.753469358,0.753469358,0.0,0,120,156,0,0,0.0
43,phev_luxury,30,driving,0.0,0.753469358,0.6725510466666667,0.0,0,0,0,157,158,2.42754934
44,phev_luxury,30,5_leisure,11.0,0.6725510466666667,1.0,9.8234686,18,159,176,0,0,0.0
45,phev_luxury,30,driving,0.0,1.0,0.9457667793333333,0.0,0,0,0,177,178,1.62699662
46,phev_luxury,30,4_private/ridesharing,0.0,0.9457667793333333,0.9457667793333333,0.0,0,179,216,0,0,0.0
47,phev_luxury,30,driving,0.0,0.9457667793333333,0.646180242,0.0,0,0,0,217,220,8.98759612
48,phev_luxury,30,5_leisure,0.0,0.646180242,0.646180242,0.0,0,221,228,0,0,0.0
49,phev_luxury,30,driving,0.0,0.646180242,0.6170364513333333,0.0,0,0,0,229,230,0.8743137200000001
50,phev_luxury,30,0_work,0.0,0.6170364513333333,0.6170364513333333,0.0,0,231,313,0,0,0.0
51,phev_luxury,30,driving,0.0,0.6170364513333333,0.5722043729999999,0.0,0,0,0,314,318,1.3449623499999999
52,phev_luxury,30,3_shopping,0.0,0.5722043729999999,0.5722043729999999,0.0,0,319,328,0,0,0.0
53,phev_luxury,30,driving,0.0,0.5722043729999999,0.3961664416666666,0.0,0,0,0,329,332,5.28113794
54,phev_luxury,30,0_work,0.0,0.3961664416666666,0.3961664416666666,0.0,0,333,414,0,0,0.0
55,phev_luxury,30,driving,0.0,0.3961664416666666,0.1740311635999999,0.0,0,0,0,415,421,6.664058342000001
